,Title,Projects,Authors,Stars
0,3D,three.js,mrdoob,101000
1,3D,react-three-fiber,pmndrs,27000
2,3D,libgdx,libgdx,23100
3,3D,Babylon.js,BabylonJS,23000
4,3D,tinyrenderer,ssloy,20200
5,3D,FreeCAD,FreeCAD,18700
6,3D,3d-game-shaders-for-beginners,lettier,17700
7,3D,aframe,aframevr,16500
8,3D,blender,blender,12700
9,3D,cesium,CesiumGS,12600
10,3D,MonoGame,MonoGame,11300
11,3D,Open3D,isl-org,11100
12,3D,mapbox-gl-js,mapbox,11000
13,3D,zdog,metafizzy,10300
14,3D,3D-Machine-Learning,timzhang642,9600
15,3D,nerfstudio,nerfstudio-project,9200
16,3D,GDevelop,4ian,8900
17,3D,SpaceshipGenerator,a1studmuffin,7600
18,3D,Fyrox,FyroxEngine,7600
19,3D,BlenderGIS,domlysz,7600
20,3D,model-viewer,google,6800
21,3D,openscad,openscad,6800
22,3D,cocos-engine,cocos,6600
23,3D,project_3D_developer_portfolio,adrianhajdin,5700
24,3D,veloren,veloren,5700
25,3D,vanta,tengbao,5400
26,3D,spritejs,spritejs,5300
27,3D,webglstudio.js,jagenjo,5200
28,3D,tensorspace,tensorspace-team,5000
29,3D,tinyraytracer,ssloy,5000
30,3D,PRNet,yfeng95,4900
31,3D,GameDevMind,gonglei007,4800
32,3D,magnum,mosra,4800
33,3D,meshlab,cnr-isti-vclab,4700
34,3D,webgl-fundamentals,gfxfundamentals,4700
35,3D,3d-force-graph,vasturiano,4600
36,3D,orillusion,Orillusion,4600
37,3D,urho3d,urho3d,4500
38,3D,vrn,AaronJackson,4500
39,3D,awesome-blender,agmmnn,4500
40,3D,FXGL,AlmasB,4300
41,3D,trois,troisjs,4200
42,3D,engine,galacean,4100
43,3D,Silk.NET,dotnet,4000
44,3D,GameDev-Resources,Kavex,3900
45,3D,L7,antvis,3600
46,3D,3DDFA,cleardusk,3600
47,3D,isometric-contributions,jasonlong,3500
48,3D,tinyobjloader,tinyobjloader,3300
49,3D,blockbench,JannisX11,3200
50,3D,armortools,armory3d,3200
51,3D,mach,hexops,3100
52,3D,armory,armory3d,3000
53,3D,cadquery,CadQuery,3000
54,3D,dust3d,huxingyi,3000
55,3D,3DDFA_V2,cleardusk,2900
56,3D,claygl,pissang,2800
57,3D,f3d,f3d-app,2700
58,3D,jeelizFaceFilter,jeeliz,2700
59,3D,CAD_Sketcher,hlorus,2600
60,3D,3d,dragonir,2600
61,3D,pyvista,pyvista,2600
62,3D,renderer,zauonlok,2400
63,3D,UEViewer,gildor2,2400
64,3D,awk-raycaster,TheMozg,2400
65,3D,Online3DViewer,kovacsv,2400
66,3D,tinykaboom,ssloy,2300
67,3D,threlte,threlte,2300
68,3D,simulator,lgsvl,2300
69,3D,Objectron,google-research-datasets,2200
70,3D,cglm,recp,2200
71,3D,mini3d,skywind3000,2200
72,3D,react-force-graph,vasturiano,2100
73,3D,nunuStudio,tentone,2100
74,3D,DECA,yfeng95,2100
75,3D,crown,crownengine,2100
76,3D,graphics-workshop,ekzhang,2100
77,3D,4DGaussians,hustvl,2000
78,3D,vedo,marcomusy,2000
79,3D,Sophus,strasdat,2000
80,Ajax,Blog,ljianshu,7900
81,Ajax,infinite-scroll,metafizzy,7400
82,Ajax,tabulator,olifolkerd,6600
83,Ajax,unfetch,developit,5700
84,Ajax,form,jquery-form,5200
85,Ajax,wretch,elbywan,4700
86,Ajax,elFinder,Studio-42,4600
87,Ajax,learn-to-send-email-via-google-script-html-no-server,dwyl,3100
88,Ajax,reqwest,ded,2900
89,Ajax,ajax-hook,wendux,2600
90,Ajax,bliss,LeaVerou,2400
91,Ajax,featherlight,noelboss,2100
92,Ajax,jquery-confirm,craftpip,1900
93,Ajax,tsrpc,k8w,1800
94,Ajax,tracy,nette,1700
95,Ajax,sente,taoensso,1700
96,Ajax,css-spinner,loadingio,1700
97,Ajax,Enterprise,joaomilho,1600
98,Ajax,eCommerce,codingforentrepreneurs,1600
99,Ajax,pjax,MoOx,1400
100,Ajax,jeeplatform,u014427391,1400
101,Ajax,RestClient,proyecto26,1200
102,Ajax,uploader,danielm,1200
103,Ajax,render_async,renderedtext,1100
104,Ajax,opensource-socialnetwork,opensource-socialnetwork,1100
